Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Datetime,ISO Date,location,moon_theta,moon_phi,sun_theta,sun_phi
9281,1900 May 28,14:53:56,-2,-1232,126,T,0.3943,1.0249,44.8N,46.5W,67,175,92,02m10s,1900-05-28 14:53:56,1900-05-28T14:53:56.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",67.5568,0.00768181,68.1689,0.0115626
9282,1900 November 22,07:19:43,-2,-1226,131,A,-0.2245,0.9421,33.1S,64.8E,77,7,220,06m42s,1900-11-22 07:19:43,1900-11-22T07:19:43.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",241.644,-0.817203,240.937,-0.0134169
9283,1901 May 18,05:33:48,-1,-1220,136,T,-0.3626,1.068,1.7S,98.4E,69,353,238,06m29s,1901-05-18 05:33:48,1901-05-18T05:33:48.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",58.4661,-1.15428,57.9427,0.0096814
9284,1901 November 11,07:28:21,0,-1214,141,A,0.4758,0.9216,10.8N,68.9E,62,190,336,11m01s,1901-11-11 07:28:21,1901-11-11T07:28:21.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",230.236,-0.132481,229.588,-0.0121317
9285,1902 April 8,14:05:06,0,-1209,108,Pe,1.5024,0.0643,71.7N,142.4W,0,67,,,1902-04-08 14:05:06,1902-04-08T14:05:06.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",18.6202,1.11181,19.1625,0.00425831
9286,1902 May 7,22:34:16,0,-1208,146,P,-1.0831,0.8593,70.0S,125.1W,0,327,,,1902-05-07 22:34:16,1902-05-07T22:34:16.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",47.3081,-1.88572,47.7654,0.00815911
9287,1902 October 31,08:00:18,1,-1202,151,P,1.1556,0.696,70.8N,100.8E,0,223,,,1902-10-31 08:00:18,1902-10-31T08:00:18.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",218.897,0.505346,218.321,-0.0100649
9288,1903 March 29,01:35:23,2,-1197,118,A,0.8413,0.9767,56.2N,130.3E,32,147,153,01m53s,1903-03-29 01:35:23,1903-03-29T01:35:23.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",8.70231,0.0114583,8.54397,0.000907962
9289,1903 September 21,04:39:52,2,-1191,123,T,-0.8967,1.0316,58.0S,77.2E,26,35,241,02m12s,1903-09-21 04:39:52,1903-09-21T04:39:52.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",179.379,-1.24642,178.362,-0.00156048
9290,1904 March 17,05:40:44,3,-1185,128,A,0.1299,0.9367,5.6N,94.7E,82,162,237,08m07s,1904-03-17 05:40:44,1904-03-17T05:40:44.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",357.91,-0.721271,357.554,-0.00176664
9291,1904 September 9,20:44:21,3,-1179,133,T,-0.1625,1.0709,3.7S,134.5W,81,17,234,06m20s,1904-09-09 20:44:21,1904-09-09T20:44:21.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",167.953,-1.02749,168.034,-0.00029816
9292,1905 March 6,05:12:26,4,-1173,138,A,-0.5768,0.9269,39.5S,117.4E,55,338,334,07m58s,1905-03-06 05:12:26,1905-03-06T05:12:26.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",346.603,-1.33916,346.3,-0.00412544
9293,1905 August 30,13:07:26,5,-1167,143,T,0.5708,1.0477,42.5N,4.3W,55,202,192,03m46s,1905-08-30 13:07:26,1905-08-30T13:07:26.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",157.634,-0.102753,157.782,0.00192521
9294,1906 February 23,07:43:20,5,-1161,148,P,-1.2479,0.5386,71.4S,170.3W,0,237,,,1906-02-23 07:43:20,1906-02-23T07:43:20.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",335.259,-2.04031,335.109,-0.0064462
